index,Ligand,Base,Catalyst,Solvent,yield
1,none,K2CO3,Pd(OAc)2,DMAc,94
2,none,K2CO3,Pd(OAc)2,Toluene,9
3,none,K2CO3,Pd2(dba)3,DMAc,8
4,none,K2CO3,Pd2(dba)3,Toluene,6
5,none,NaOtBu,Pd(OAc)2,DMAc,21
6,none,NaOtBu,Pd(OAc)2,Toluene,16
7,none,NaOtBu,Pd2(dba)3,DMAc,2
8,none,NaOtBu,Pd2(dba)3,Toluene,3
9,dppf,K2CO3,Pd(OAc)2,DMAc,58
10,dppf,K2CO3,Pd(OAc)2,Toluene,15
11,dppf,K2CO3,Pd2(dba)3,DMAc,21
12,dppf,K2CO3,Pd2(dba)3,Toluene,4
13,dppf,NaOtBu,Pd(OAc)2,DMAc,30
14,dppf,NaOtBu,Pd(OAc)2,Toluene,29
15,dppf,NaOtBu,Pd2(dba)3,DMAc,2
16,dppf,NaOtBu,Pd2(dba)3,Toluene,0
17,P(o-tol)3,K2CO3,Pd(OAc)2,DMAc,81
18,P(o-tol)3,K2CO3,Pd(OAc)2,Toluene,39
19,P(o-tol)3,K2CO3,Pd2(dba)3,DMAc,0
20,P(o-tol)3,K2CO3,Pd2(dba)3,Toluene,4
21,P(o-tol)3,NaOtBu,Pd(OAc)2,DMAc,25
22,P(o-tol)3,NaOtBu,Pd(OAc)2,Toluene,5
23,P(o-tol)3,NaOtBu,Pd2(dba)3,DMAc,25
24,P(o-tol)3,NaOtBu,Pd2(dba)3,Toluene,1
25,none,K3PO4,Pd(OAc)2,Toluene,59
26,P(o-tol)3,K3PO4,Pd(OAc)2,Toluene,50
27,dppf,K3PO4,Pd(OAc)2,Toluene,19
28,none,K3PO4,Pd(OAc)2,DMAc,98
29,P(o-tol)3,K3PO4,Pd(OAc)2,DMAc,42
30,dppf,K3PO4,Pd(OAc)2,DMAc,97
31,none,K3PO4,Pd2(dba)3,Toluene,17
32,P(o-tol)3,K3PO4,Pd2(dba)3,Toluene,16
33,dppf,K3PO4,Pd2(dba)3,Toluene,11
34,none,K3PO4,Pd2(dba)3,DMAc,1
35,P(o-tol)3,K3PO4,Pd2(dba)3,DMAc,11
36,dppf,K3PO4,Pd2(dba)3,DMAc,2
37,none,K3PO4,Pd(OAc)2,THF,58
38,P(o-tol)3,K3PO4,Pd(OAc)2,THF,42
39,dppf,K3PO4,Pd(OAc)2,THF,22
40,none,K2CO3,Pd(OAc)2,THF,66
41,P(o-tol)3,K2CO3,Pd(OAc)2,THF,66
42,dppf,K2CO3,Pd(OAc)2,THF,14
43,none,NaOtBu,Pd(OAc)2,THF,68
44,P(o-tol)3,NaOtBu,Pd(OAc)2,THF,56
45,dppf,NaOtBu,Pd(OAc)2,THF,29
46,none,K3PO4,Pd2(dba)3,THF,21
47,P(o-tol)3,K3PO4,Pd2(dba)3,THF,6
48,dppf,K3PO4,Pd2(dba)3,THF,23
49,none,K2CO3,Pd2(dba)3,THF,6
50,P(o-tol)3,K2CO3,Pd2(dba)3,THF,24
51,dppf,K2CO3,Pd2(dba)3,THF,11
52,none,NaOtBu,Pd2(dba)3,THF,41
53,P(o-tol)3,NaOtBu,Pd2(dba)3,THF,22
54,dppf,NaOtBu,Pd2(dba)3,THF,5
